
Command,Description
-ntb_noshell,Tells VCS not to generate the shell file. Use this -ntb_opts keyword_argument
-ntb_opts sv_fmt,"The default padding used in displayed or printed left padding. For example, when -ntb_opts sv_fmt is used, the result of"
-ntb_opts tb_timescale=<value>,"Specifies an overriding timescale for the testbench, whenever the required testbench timescale is different from that of the design. It must be used in the timescale for the design."
-ntb_opts tokens,"Pre-processes the OpenVera files to generate two files, tokens.vr and tokens.vrp. The tokens.vr contains the preprocessed result of the non-encrypted OpenVera files, while the tokens.vrp contains the pre-processed result of the encrypted OpenVera files. If there is no encrypted OpenVera file, VCS sends all the OpenVera pre-processed results to the tokens.vr file. use_sigprop                      Enables the signal property access functions. For example, vera_get_ifc_name()."
-ntb_shell_only,compiling a testbench separately from the design file.
-ntb_sfname <filename>,Specifies the file name of the testbench shell.
-ntb_sname <module_name>,Specifies the name and directory where VCS writes the testbench shell module.
-ntb_spath,Specifies the directory where VCS writes the testbench shell and shared object files. The default is the compilation directory.
-ntb_vipext .ext,Specifies an OpenVera encrypted-mode file extension to mark files for processing in OpenVera encrypted encrypted-mode extensions .vrp and .vrhp are not overridden and will always be in effect. You can pass multiple file extensions at the same time using the plus (+) character.
-v95,Specifies not recognizing Verilog 2001 keywords.
+systemverilogext+ext,Specifies a file name extension for SystemVerilog source files. If you use a different file name extension for the SystemVerilog part of your source code and omitted.
+verilog2001ext+ext,Specifies a file name extension for Verilog 2001 source files.
+verilog1995ext+ext,"Specifies a file name extension for Verilog 1995 1995 code that would be invalid in Verilog 2001 or SystemVerilog code, such as using Verilog 2001 or SystemVerilog keywords, like localparam and logic, as names. Note: Do not enter all three of these options on the same command line."
-extinclude,"If a source file for one version of Verilog contains the 'include compiler directive, VCS by default compiles ‘include the included file for the same version of Verilog, even if the included file has a different filename extension. If you want VCS to compile the included file with the version specified by its extension, enter this | the version specified by its extension."
+vcs+initreg+random,"Initializes all bits of the Verilog variables, registers defined in sequential UDPs, and memories including multi-dimensional arrays (MDAs) in your design to random value 0 or 1, at time zero. The default random seed is used. | Initializes all variables, registers and memories to random value 0 or 1, with the default seed. | +vcs+initreg+random."
+vcs+initreg+config+config_file,"Specifies a configuration file for initializing Verilog variables, registers defined in sequential UDPs, and memories including multi-dimensional arrays (MDAs) in your design, at time zero. In the configuration file, you can define the parts of a design to apply the initialization and the initialization values of the variables. | Specifies runtime configuration file config_file and overrides compile-time configuration file, if specified. | Uses specified seed for generating | Issues a warning message, ignores"
+vcs+initreg+random+nomem,Disables initialization of memories or allows initialization of variables that do not used when the +vcs+initreg+random or specified at compile-time.
+vcs+initreg+random+noreg,Disables initialization of variables that do not be used When the +vcs+initreg+random or specified at compile-time.
+rad,Performs Radiant Technology optimizations on your design. These optimizations are also enabled for SystemVerilog part of the design.
+optconfigfile+filename,Specifies a configuration file that lists the parts of your design you want to optimize (or not optimize) and the level of optimization for these parts. You can also use the configuration file to specify ACC write capabilities.
-R,Runs the executable file immediately after VCS links it together. Note: extra options are expected at runtime. | Runs the executable file immediately after VCS links it together.
-sdf min|typ|max:instance_name:file.sdf,"Enables SDF annotation. Minimum, typical, or maximum values specified in file.sdf are annotated on the instance, instance_name."
+allmtm,"Specifies compiling separate files for minimum, typical, and maximum delays when there are min:typ:max delay triplets in SDF files. If you use this or +maxdelays options at runtime to specify which with the +maxdelays, +mindelays, or +typdelays +maxdelays+maxdelays[maxdelays] +mindelays+mindelays[mindelays] +typdelays+typdelays[typdelays] compile-time options."
+charge_decay,"Enables charge decay in trireg nets. Charge decay does not work if you connect the trireg to a transistor (bi-directional pass) switch such as tran, rtran, tranif1, or rtranif0."
-hsopt=chargedecay,VCS optimization under hsopt related to +charge_decay.
+delay_mode_path,"Uses only delay specifications in module-path delays in specify blocks. Overrides all the delay specifications on all gates, switches, and continuous assignments to zero."
+delay_mode_zero,"Removes delay specifications on all gates, switches, continuous assignments, and module paths."
+delay_mode_unit,"Overrides all the delay specifications in module-path delays in specify blocks to zero delays. Overrides all the delay specifications on all gates, switches, and continuous assignments to the shortest time precision argument of all the 'timescale compiler directives in the source code. The default time unit and time precision argument of the 'timescale compiler directive is 1s. | switches, and continuous assignments to the shortest time precision argument of all the 'timescale compiler directives in the source code. Analysis Options"
+delay_mode_distributed,"Overrides all the delay specifications in module-path delays in specify blocks to zero delays. Uses only the delay specifications on all gates, switches, and continuous assignments."
-add_seq_delay,the sequential User-Defined Primitives (UDPs) without delays.
+maxdelays,"Specifies using the maximum timing delays in the min:typ:max delay triplets when compiling the SDF file. The mtm_spec argument to the $sdf_annotate | Specifies using the maximum delays in min:typ:max delay triplets in module path delays and timing checks, if you Also specifies using the maximum timing delays in min:typ:max delay triplets in an uncompiled SDF file."
+mindelays,"Specifies using the minimum timing delays in the min:typ:max delay triplets when compiling the SDF file. The mtm_spec argument to the $sdf_annotate | Specifies using the minimum delays in min:typ:max delay triplets in module path delays and timing checks, if you Also specifies using the minimum timing delays in min:typ:max delay triplets in an uncompiled SDF file."
+typdelays,"Specifies using the typical timing delays in min:typ:max delay triplets when compiling the SDF file. The mtm_spec argument to the $sdf_annotate | Specifies using the typical delays in min:typ:max delay triplets in module path delays and timing checks, if you compiled your using the typical timing delays in min:typ:max delay triplets in an uncompiled SDF file."
+multisource_int_delays,"Enables the multisource INTERCONNECT feature, including transport delays with full pulse control."
+nbaopt,Removes all intra-assignment delays in all the non-blocking assignment statements in the design.
+sdf_nocheck_celltype,"For a module instance to which an SDF file back-annotates delay data, disables comparing the module identifier in the source code with the CELLTYPE entry in the SDF file."
+transport_int_delays,Enables transport delays for delays on nets with a delay back-annotated from an INTERCONNECT entry in an SDF file. The default is inertial delays.
+transport_path_delays,Enables transport delays for module-path delays.
-sdfretain,Enables timing annotation as specified by a RETAIN entry on IOPATH delays.
+iopath+edge+sub-option,IOPATH SDF file entries.
+iopath+edge+strict,Enables warning message for edge sensitive input port in the SDF file where corresponding arc is not found in Verilog model. The data from SDF is not back annotated to the Verilog model.
+iopath+edge+ignore,by ignoring the edge in SDF.
+mp64,delays up to 64 bits. It supports both native delays in SDF and scaled delays due to a timescale difference.
+csdf+precompile,Precompiles your SDF file into a format that VCS can parse when it compiles your Verilog code.
-diag=sdf:icverbose,Enables the sdfAnnotateInfo file to display the total number of INTERCONNECT statement in an SDF file and the number of successfully annotated INTERCONNECT statement in an SDF file.
+pathpulse,Enables the search for PATHPULSE$ specparam in specify blocks.
+nospecify,Suppresses module-path delays and timing checks in blockssuppressing specify simulation performance.
+notimingcheck,Disables timing check system tasks in the design.
+no_notifier,Disables toggling of the notifier register that you specify in some timing check system tasks. This messages when VCS finds a timing violation that you specified in a timing check.
+no_pulse_msg,"Suppresses pulse error messages, however, not the generation of StE values at module path outputs when a pulse error condition occurs."
+no_tchk_msg,"Disables display of timing violations, but does not disable the toggling of notifier registers in timing"
+pulse_e/number,"Displays an error message and propagates an x value for any path pulse whose width is less than or equal to the percentage of the module-path delay specified by the number argument, but is still greater than the percentage of the module-path delay specified by the"
+pulse_r/number,Rejects any pulse whose width is less than number pulses narrow pulsesfiltering out percent of the module-path delay. The number argument is in the range of 0 to 100.
+pulse_int_r,applies only to INTERCONNECT delays.
+pulse_int_e,+pulse_e applies only to INTERCONNECT delays.
+pulse_on_event,"Specifies that when VCS encounters a pulse shorter than the module-path delay, VCS waits until the module-path delay elapses and then drives an x value on the module output port and displays an error message. It drives that x value for a simulation time equal to the length of the short pulse or until another simulation event drives a value on the output port."
+pulse_on_detect,"Specifies that when VCS encounters a pulse shorter than the module-path delay, VCS immediately drives an x value on the module output port, and displays an error message. It does not wait until the module-path delay elapses. It drives that x value until the short pulse propagates through the module or until another simulation event drives a value on the output port."
-negdelay,Enables the use of negative values in IOPATH IOPATH delaysSDF filesnegative values enablingSDF filesIOPATH delaysnegative values enabling and INTERCONNECT entries in SDF files. INTERCONNECT delaysSDF filesnegative values enablingSDF filesINTERCONNECT delaysnegative values enabling
+neg_tchk,Enables negative values in timing checks.
+old_ntc,Prevents the other timing checks from using delayed versions of the signals in the $setuphold and $recrem timing checks.
+NTC2,"In $setuphold and $recrem timing checks, specifies $setuphold $recrem checking the timestamp and timecheck conditions when the original data and reference signals change value instead of when their delayed versions change value."
-simprofile time | mem,Specifies the type of simulation profiling you want done.
-f <filename>,"Specify a file that contains a list of source files and compile-time options, including C source files and object files."
-file <filename>,Specify a file that contains a list of source files and source files and object files. with (-) character.
-F <filename>,specify a file list and a path to search for the files.
+plusarg_save,the executable.
+applylearn+filename,Recompiles your design to enable only the ACC capabilities that you needed for the debugging operations you did during a previous simulation of the design.
-e new_name_for_main,Specifies the name of your main() routine. You write your own main() routine when you are writing a C++ application or when your application does some processing before starting the simv executable. Note: Cosimulation Interface.
-P pli.tab,Compiles a user-defined PLI definition table file.
+vpi,Enables the use of VPI PLI access routines.
+vpi+1,"Allows you to reduce the runtime memory by reducing the information storage for VPI interface at runtime. compile-time, but preserves the structural information."
+vpi+1+assertion,"Allows you to browse, enable, and disable SV and RT assertions to the base features of +vpi+1."
-load shared_library:registration_routine,Specifies the registration routine in a shared library for a VPI application.
+vc+[abstract+allhdrs+list],functions and calling these functions in your source code. See the VCS DirectC Interface User Guide. The • +abstract DirectCabstract accessspecifying Enables abstract access through vc_handles. • +allhdrs DirectCvc_hdrs.h filevc_hdrs.h filein DirectC Writes the vc_hdrs.h file that contains external function declarations that you can use in your Verilog code. • +list functions C/C++ the DirectClisting Displays all the C/C++ functions that you called in your Verilog source code.
+vcs+flush+log,Increases the frequency of flushing both the compilation and simulation log file buffers.
+vcs+flush+dump,Increases the frequency of flushing all VCD file buffers.
+vcs+flush+fopen,Increases the frequency of flushing all the buffers for the files opened by the $fopen system function.
+vcs+flush+all,"+vcs+flush+log, +vcs+flush+dump, and +vcs+flush+fopen options."
-lmc-swift,Includes the LMC SWIFT interface. interfaceincluding SWIFT LMC
-lmc-swift-template,Generates a Verilog template for a SWIFT Model.
-error,"Revises the +lint and +warn options, to control error and warning messages. With them you can: • Disable the display of any lint, warning, or error messages • Disable the display of specific messages • Limit the display of specific messages to a maximum number that you specify | Revises the +lint and +warn options, to control error and warning messages."
-suppress,Disables the display of error and warning messages.
+sdfverbose,"By default, VCS displays no more than ten warning and ten error messages about back-annotating delay display of all back-annotation warning and error messages. This default limitation on back-annotation messages applies only to messages displayed on the screen and written in the simulation log file. If you specify an SDF log file in the $sdf_annotate system task, this log file receives all messages. | Enables the display of all back-annotation messages."
+lint=[no]ID|none|all,"Enables messages that tell you when your Verilog code contains something that is bad style, but is often used in designs."
-no_error ID+ID,"Changes the error messages with the UPIMI and IOPCWM IDs to warning messages with the both IDs as arguments, for example:"
-q,"Quiet mode; suppresses messages such as those about the C compiler VCS is using, the source files VCS is parsing, the top-level modules, or the specified timescale. | Quiet mode; suppresses display of VCS header and summary information. | Suppresses compiler messages. | Suppresses all vlogan messages."
-V,"Verbose mode; compiles verbosely. The compiler compilingverbose messages driver program prints the commands it executes as it runs the C compiler, assembler, and linker. If you is also passed to runtime executable, just as if you had entered simv -V. | Verbose mode; displays VCS version and extended summary information. | Compiles verbosely. -check_all in the vcs command line. Usage % vcs -check_all Example % vcs -check_all -debug_access Enables the required debug capabilities in a simulation. You can optimize simulation performance by enabling only the required debug capabilities. Table 3 describes the supported options of -debug_access. quit, and dump commands. Table 3         Supported Options of -debug_access access to get value, and enables the UCLI get command. This is the minimum entire design. equivalent to -debug_access+r+fn. • Read capability on registers, variables, and nets • Write (deposit) capability on registers and variables • Force capability on registers, variables, and nets drivers -debug_access+r+drivers. line cbk -debug_access+r+cbk. cbkd registers, and variables defined in classes. Class object debugging is also enabled. thread equivalent to -debug_access+r+thread. class objects, but the capability is also applied to the remaining portion of the to:-debug_access+r+w+thread+line+cbk+cbkd. pp equivalent to:-debug_access+w+cbk+drivers. Table 3          Supported Options of -debug_access (Continued) dmptf tasks/functions. to:-debug_access+r+w+wn+f+fn+fwn+drivers+line+cbk+cbkd+ thread+class+pp+dmptf."
-Vt,"Verbose mode; provides CPU time information. Like -V, but also prints the amount of time used by each simulation to slow down."
+warn=[no]ID|none|all,Uses warning message IDs to enable or disable display of warning messages.
+error+count,"Enables you to increase the VCS elaboration error count limit. By default, VCS stops elaboration after reaching 10 errors."
-parse_only,"To make sure VCS quits normally before all syntax and semantic issues are checked, you need to enable -parse_only"
+nolibcell,Does not define as a cell modules defined in libraries unless they are under the `celldefine compiler ‘celldefine‘celldefine[celldefine] directive.
+nocelldefinepli+0,"Enables recording in VPD files, the transition times and values of nets and registers in all modules defined under the 'celldefine compiler directive or defined in a library that you specify with the -v or - -v-v[v] -y-y[y] these modules."
+nocelldefinepli+1,"Disables recording in VPD files, the transition times and values of nets and registers in all modules defined under the 'celldefine compiler directive. modules. Modules in a library file or directory are not the 'celldefine compiler directive."
+nocelldefinepli+2,"In VPD files, disables recording the transition times and values of nets and registers in all modules defined under the 'celldefine compiler directive or defined in a library that you specify with the -v or -y options, whether the modules in these libraries are defined under the 'celldefine compiler directive modules."
+nocelldefinepli+1+ports,Removes the PLI capabilities from `celldefine ‘celldefine‘celldefine[celldefine] modules but allows PLI access to port nodes and parameters.
+nocelldefinepli+2+ports,Removes the PLI capabilities from library and ‘celldefine modules and allows PLI access to port nodes and parameters.
-licwait <timeout>,"Enables VCS to retry for a license until timeout expires, where timeout is the time in minutes."
-licqueue,"Tells VCS to try for the license till it finds the license. If there are multiple jobs asking for a license, then any one of those jobs get the license (similar to the older VCS_LICENSE_WAIT               You must set the VCS_LICENSE_WAIT variable to 1 and wait. Thus, the first job to enter the queue gets the"
-ID,"Returns useful information about a number of things: the version of VCS that you have set the VCS_HOME environment variable to, the name of VCS_HOME your workstation, your workstation’s platform, the host ID of your workstation (used in licensing), the version of the VCS compiler (same as VCS) and the VCS build date. | Returns useful information."
-ld linker,"Specifies an alternate front-end linker. Only applicable linker linkingspecifying another in incremental compile mode, which is the default."
-LDFLAGS options,Passes options to the linker.
-c,"Tells VCS to compile the source files, generate the hand by linkinglinking intermediate C, assembly, or object files, and compile or assemble the C or assembly code, but not to link"
-lname,Links the name library to the resulting executable. linkinglinking a specified library to the executable Usage is the letter l followed by a name (no space between l and name). For example: -lm (instructs VCS to include the math library).
-Marchive=number_of_module_definitions,"By default, VCS compiles module definitions into individual object files and sends all the object files in a command line to the linker. Some platforms use a fixed-length buffer for the command line, and if VCS sends too long a list of object files, this buffer overflows and the link fails. A solution to this problem is to have the linker create temporary object files containing more than one module definition so there are fewer object files on the linker command line. object files and specify how many module definitions are in these files."
-picarchive,"-picarchive • Enable Position Independent Code (PIC) object file generation along with linking the shared object version of VCS libraries. • Archive generated PIC code into multiple shared objects inside simv.daidir or simv.db.dir directory. • Link the Shared objects at runtime to the final executable, instead of linking all the objects statically into final executable in a single step at compile-time."
-cc compiler,Specifies an alternate C compiler. another C code generatingspecifying compiler
-CC options,Passes options to the C compiler or assembler. C code generatingpassing options to the compiler
-CFLAGS options,"Passes options to C compiler. Multiple -CFLAGS are allowed. Allows passing of C compiler optimization levels. For example, if your C code, test.c, calls a library file in your VCS installation under $VCS_HOME/include, use any of the following"
-cpp,Specifies the C++ compiler.
-jnumber_of_processes,Specifies the number of processes that VCS forks for parallel parallel compilation. There is no space between the compilation when generating intermediate C files (-gen_c) and their parallel compilation.
-C,Stops after generating the C code intermediate files.
-O0,"Suppresses optimization for faster compilation (but compilation faster for optimization generatingsuppressing code C slower simulation). Suppresses optimization for how VCS both writes intermediate C code files and letter ""O"" followed by a zero with no space between them."
-Onumber,"Specifies an optimization level for how VCS both writes and compiles intermediate C code files. The number can be in the 0-4 range; 2 is the default, 0 and 1 decrease optimization, 3 and 4 increase followed by 0, 1, 2, 3 or 4 with no space between them. See above for additional information regarding the -O0 variant."
-override-cflags,"Tells VCS not to pass its default options to the C compiler. By default, VCS has a number of C compiler options that it passes to the C compiler. The options it passes depends on the platform, whether it is a 64-bit compilation, whether it is a mixed HDL design, and other factors. VCS passes these options and then passes the options you specify with the -CFLAGS"
-gfile cmdfile,Overrides the default values for design generics and parameters by using values from the file cmdfile. The cmdfile file contains assign commands targeting design generics and parameters.
-pvalue+parameter_hierarchical_name=value,Changes the specified parameter to the specified value.
-parameters filename,"Changes the parameters specified in the file to values specified in the file. The syntax for a line in the file is as follows: Changes the parameters specified in the file to values specified in the file. The syntax for a line in the file is as follows: assign value path_to_parameter The path to the parameter is similar to a hierarchical name, except that you use the forward slash character (/) instead of a period as the delimiter."
-xzcheck [nofalseneg],Checks all the conditional expressions in the design and displays a warning message every time VCS evaluates a conditional expression to have an x or z value. nofalseneg                              Suppress the warning message when the value of a conditional expression transitions to an x or z value and then to 0 or 1 in the same simulation time step.
-race,"Enables dynamic race detection (read-write races, write-write races) for the entire design."
-racecd,Enables race detection for the part of your design that is enclosed between the ‘race and ‘endrace compiler directives.
+race=all,Enables the static race detection tool.
-timescale=time_unit/time_precision,"Occasionally, some source files contain the 'timescale compiler directive and others do not. In this case, if you specify the source files that do not contain the 'timescale compiler directive on the command line before you specify the ones that do, this is an error condition and VCS halts compilation, timescale for the source files that do not contain this compiler directive and precede the source files that do. Do not include spaces when specifying the"
-unit_timescale[=<default_timescale>],"the default time unit for the compilation-unit scope. You must not include spaces when specifying -override_timescale=time_unit/time_precision Overrides the time unit and precision unit for all the 'timescale compiler directives in the source code, ‘timescale timescale for all module definitions that precede the first 'timescale compiler directive. Do not include"
-time base_time,simulation base time for overrides the default TIMEBASE variable value in timebase variable base_time is ns.
-time_res value,overrides the default TIME_RESOLUTION variable value variable timebase
-noinherit_timescale,specify a global timescale within the compilation unit of any source file that does not have an explicit 'timescale directive.
"-vts_ignore_env=ENV1,ENV2,...","You can use the -vts_ignore_env=ENV1,ENV2,... variables from incremental compilation during VCS timestamp checks."
-gfile,override parameter and generic values through a file for both Verilog and VHDL respectively. | through a file for both Verilog and VHDL respectively.
-pvalue,for changing the parameter values from the vcs command line. | from the vcs command line.
-pvalue_nonlocal,"When param_assignments appear in a module_parameter_port_list and you specify the -pvalue_nonlocal, then any param_assignments that appear in the module become local parameters and shall not be overridden by any method (such as -pvalue)."
-pvalue+pkg1::WIDTH=3 -pvalue+pkg2::WIDTH=4,You can override the package parameters during package scope resolution.
-gv|-gvalue,defined in the source code only if the generic is of type integer or real. | with the value specified in the command line. | Overrides the generic value defined in the source code with the value specified in the command line during runtime.
-g|-generics cmdfile,Overrides the default values for the design generics by using values from the file cmdfile. The file cmdfile is an include file that contains assign commands targeting design generics.
-param_override=dont_report,You can use the -param_override=dont_report override messages in stdout and the compile log file.
-param_override=report,Suppress the message in stdout and compile log file and add it in the param_override.rpt log file in the current working directory.
-check_all,-check_all additional semantic checks that are traditionally run -ntb_opts check=all options for SystemVerilog. | VHDL.
-boundscheck,Enables the compile-time check for two-dimensional or three-dimensional arrays with packed dimensions.
-check,the VHDL code. The following error messages are displayed during runtime: • Error-[SIMERR_FDIVZERO_SCOPE] Divide by Zero Error • Error-[SIMERR_INCONSISTENTIC] Incorrect Binding Range • Error-[SIMERR_INCONSISTENTIS] Subtype constraints inconsistencies
+busconfloat+,VCS support options to detect multiple conflicts on buses.
-auto_tchk_local_precision,"VCS allows you to define local time precision for modules that uses different timescale units and precisions. To enable this feature, you can use a configuration file or the"
-varindex_drivers,"As per SystemVerilog LRM 1800 TM-2017, Section 6.5 Nets and variables, an error is issued when multiple continuous assignments or a mixture of procedural and continuous assignments writing to any term in the expansion of a written longest static prefix of a variable. VCS considers the longest static prefix for multiple driver analysis as defined in LRM under"
-ntb_opts multi_driver_no_source_info,"In the partition compile flow, VCS generates an error message in the presence of an invalid combination of structural and procedural drivers or an invalid combination of two structural drivers for the variables of a design. VCS dumps the driver information of all the variables of the design during elaboration, which significantly increases the compile time. You can use the -ntb_opts multi_driver_no_source_info driver information of variables."
+incdir+directory+,Specifies the directory or directories in which VCS searches for include files used in the `include directories‘includespecifying the search directories[include] search the ‘includespecifying compiler directive.
-sysc,Enables SystemC cosimulation engine.
-sysc=adjust_timeres,"Determines the finer time resolution of SystemC and HDL in case of a mismatch, and sets it as the simulator’s timescale. VCS may be unable to adjust the time resolution if you elaborate sc_set_time_resolution() function call in your SystemC code. In such cases, VCS reports an error and does not create simv."
+tetramax,Enables splitting of TetraMAX’s large testbench to improve VCS capability and to reduce compile time.
+noportcoerce,"Prevents VCS from coercing ports to inout ports, equivalent of the 'noportcoerce compiler directive."
+noerrorIOPCWM,"Changes the error condition, when a signal is wider or narrower than the inout port to which it is connected, to a warning condition, thus allowing VCS to create the simv executable after displaying the warning message."
-genid_db,enable and control the Search Identifiers feature: • -genid_db -genid_db • -nogenid_db -nogenid_db • -debug_access+idents_db -debug_access+idents_db • -debug_access+all
-nogenid_db,"Specify -nogenid_db, if you want to completely avoid -nogenid_db any disk space and CPU time overhead caused combination with -debug_access+all."
-l filename,Specifies a file where VCS records compilation -R-R[-] records messages from both compilation and simulation in the same file. | Specifies writing all messages from simulation to the specified file as well as displaying these messages on the standard output. | Specifies a log file where VCS records compilation messages and | Specifies a file where VCS records elaboration messages.
-a logFilename,Captures simulation output and appends the log information in the existing log file. If the log file doesn’t
-u,Changes all the characters in identifiers to uppercase. It does not change identifiers in quoted strings such as the first argument to the $monitor system task. | Changes all characters in identifiers to uppercase.
+define+macro=value+,Defines a text macro in your source code to a value or character string. You can test for this definition in your Verilog source code using the 'ifdef compiler directive.
+undefine+<macroname>,Undefines a text macro in your source code that is already defined.
-p1800_macro_expansion,are more LRM-compliant and accurate especially for SystemVerilog macros.
-o name,"Specifies the name of the executable file. In UNIX, the default is simv."
-platform,"Returns the name of the platform directory in your VCS installation directory. For example, when you install VCS on a Solaris version 5.4 workstation, VCS creates a directory named, sun_sparc_solaris_5.4, in the directory where you install VCS. In this directory are subdirectories for licensing, executable libraries, utilities, and other important files and executables. You need to set your path to these subdirectories. You"
-maxLayers value,Sets the maximum number of donut layers for a mixed HDL design. The default value is 8.
